기준일,지역명,당일확진자,지역확진,해외확진,누적확진자
20210618,서울,197,193,4,47530
20210618,합계,482,456,26,150720
20210617,검역,10,0,10,3990
20210617,제주,6,6,0,1221
20210617,경남,14,12,2,5075
20210617,경북,11,10,1,4839
20210617,전남,4,4,0,1574
20210617,전북,4,3,1,2311
20210617,충남,7,7,0,3681
20210617,충북,19,19,0,3216
20210617,강원,9,9,0,3393
20210617,경기,153,151,2,42066
20210617,세종,1,1,0,520
20210617,울산,11,11,0,2722
20210617,대전,13,12,1,2424
20210617,광주,2,1,1,2881
20210617,인천,22,21,1,6509
20210617,대구,11,11,0,10488
20210617,부산,10,9,1,5995
20210617,서울,200,197,3,47333
20210617,합계,507,484,23,150238
20210616,검역,8,0,8,3980
20210616,제주,8,8,0,1215
20210616,경남,5,5,0,5061
20210616,경북,3,3,0,4828
20210616,전남,6,6,0,1570
20210616,전북,7,6,1,2307
20210616,충남,5,5,0,3674
20210616,충북,18,18,0,3197
20210616,강원,7,6,1,3384
20210616,경기,183,181,2,41913
20210616,세종,2,1,1,519
20210616,울산,22,22,0,2711
20210616,대전,18,18,0,2411
20210616,광주,6,6,0,2879
20210616,인천,17,17,0,6487
20210616,대구,7,7,0,10477
20210616,부산,17,15,2,5985
20210616,서울,201,199,2,47133
20210616,합계,540,523,17,149731
20210615,검역,8,0,8,3972
20210615,제주,9,9,0,1207
20210615,경남,7,7,0,5056
20210615,경북,3,3,0,4825
20210615,전남,8,8,0,1564
20210615,전북,2,2,0,2300
20210615,충남,8,7,1,3669
20210615,충북,17,17,0,3179
20210615,강원,7,7,0,3377
20210615,경기,190,184,6,41730
20210615,세종,4,4,0,517
20210615,울산,7,6,1,2689
20210615,대전,29,28,1,2393
20210615,광주,1,1,0,2873
20210615,인천,12,11,1,6470
20210615,대구,16,16,0,10470
20210615,부산,16,13,3,5968
20210615,서울,201,199,2,46932
20210615,합계,545,522,23,149191
20210614,검역,9,0,9,3964
20210614,제주,6,6,0,1198
20210614,경남,3,3,0,5049
20210614,경북,5,2,3,4822
20210614,전남,3,3,0,1556
20210614,전북,4,4,0,2298
20210614,충남,7,6,1,3661
20210614,충북,14,14,0,3162
20210614,강원,3,2,1,3370
20210614,경기,120,118,2,41540
20210614,세종,8,7,1,513
20210614,울산,4,4,0,2682
20210614,대전,15,14,1,2364
20210614,광주,4,3,1,2872
20210614,인천,12,11,1,6458
20210614,대구,16,16,0,10454
20210614,부산,9,6,3,5952
20210614,서울,131,127,4,46731
20210614,합계,373,346,27,148646
20210613,검역,16,0,16,3955
20210613,제주,9,9,0,1192
20210613,경남,13,13,0,5046
20210613,경북,4,4,0,4817
20210613,전남,4,4,0,1553
20210613,전북,2,2,0,2294
20210613,충남,7,7,0,3654
20210613,충북,23,23,0,3148
20210613,강원,11,10,1,3367
20210613,경기,122,113,9,41420
20210613,세종,1,0,1,505
20210613,울산,0,0,0,2678
20210613,대전,10,10,0,2349
20210613,광주,4,3,1,2868
20210613,인천,14,13,1,6446
20210613,대구,20,19,1,10438
20210613,부산,17,10,7,5943
20210613,서울,120,118,2,46598
20210613,합계,397,358,39,148271
20210612,검역,17,0,17,3939
20210612,제주,5,5,0,1183
20210612,경남,8,7,1,5033
20210612,경북,7,7,0,4813
20210612,전남,3,3,0,1549
20210612,전북,1,1,0,2292
20210612,충남,10,8,2,3647
20210612,충북,6,6,0,3125
20210612,강원,10,10,0,3356
20210612,경기,149,142,7,41298
